Quotes,Question
"It is difficult to find happiness within oneself, but it is impossible to find it anywhere else.","Happiness and Inner Self"
"All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident.","The Nature of Truth"
"The wise have always said the same things, and fools, who are the majority have always done just the opposite.","Wisdom vs. Foolishness"
"The majority of men are not capable of thinking, but only of believing, and are not accessible to reason, but only to authority.","Critical Thinking vs. Blind Belief"
"A pessimist is an optimist in full possession of the facts.","Pessimism and Realism"
"A man can be himself only so long as he is alone; and if he does not love solitude, he will not love freedom; for it is only when he is alone that he is really free.","Solitude and Freedom"
"We can regard our life as a uselessly disturbing episode in the blissful repose of nothingness. ","Nihilism and the Meaning of Life"
"Talent hits a target no one else can hit; Genius hits a target no one else can see.","Talent vs. Genius"
"Marrying means, to grasp blindfolded into a sack hoping to find out an eel out of an assembly of snakes." ,"Marriage and Uncertainty"
"A high degree of intellect tends to make a man unsocial.","Intellect and Social Behavior"
"Religion is the masterpiece of the art of animal training, for it trains people as to how they shall think.","Religion and Conditioning"
"Education perverts the mind since we are directly opposing the natural development of our mind by obtaining ideas first and observations last. This is why so few men of learning have such sound common sense as is quite common among the illiterate.", "Education vs. Natural Development"
"If we suspect that a man is lying, we should pretend to believe him; for then he becomes bold and assured, lies more vigorously, and is unmasked.","Strategy in Dealing with Deceit"
"The fruits of Christianity were religious wars, butcheries, crusades, inquisitions, extermination of the natives of America, and the introduction of African slaves in their place.","Critique of Christianity"
"Just remember, once you're over the hill you begin to pick up speed. ","Aging and Life Perspective"
"The person who writes for fools is always sure of a large audience. " ,"Writing and Audience"
"We seldom think of what we have but always of what we lack. Therefore, rather than grateful, we are bitter.","Human Nature and Dissatisfaction"
"The more unintelligent a man is, the less mysterious existence seems to him.","Intelligence and Perception of Existence"
"The shortness of life, so often lamented, may be the best thing about it.","Perspective on Life's Shortness"
"Women remain children all their lives, for they always see only what is near at hand, cling to the present, take the appearance of a thing for reality, and prefer trifling matters to the most important.","Gender and Perception"
"The Universe is a dream dreamed by a single dreamer where all the dream characters dream too.","Metaphysical View of the Universe"
"You are free to do what you want, but you are not free to want what you want. ","Free Will and Determinism"
"What people commonly call fate is mostly their own stupidity.","Fate and Human Stupidity"
"Always to see the general in the particular is the very foundation of genius.","Perception and Genius"
"To overcome difficulties is to experience the full delight of existence.","Overcoming Adversity"
"Happiness belongs to those who are sufficient unto themselves. For all external sources of happiness and pleasure are, by their very nature, highly uncertain, precarious, ephemeral and subject to chance.","Self-Sufficiency and Happiness"
"Opinion is like a pendulum and obeys the same law.","Nature of Opinions"
"He who does not enjoy solitude will not love freedom.","Solitude and Freedom"
"I know of no more beautiful prayer than that which the Hindus of old used in closing: May all that have life be delivered from suffering.","Compassion and Prayer"
"A happy life is impossible; the best that a man can attain is a heroic life.","Happiness vs. Heroic Life"
"It is difficult to keep quiet if you have nothing to do. ","Idleness and Restlessness"
